,SMILES,False positives,True positives,FP - DVRL,TP - DVRL,Score - DVRL,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,-0.0,1.0,0.0,0.0,0.4059557616710663,0.0,0.0,40.55829003042633,0.0,1.0,0.0
1,C/C(=N\NC(=O)c1cccc(Cl)c1)c1cccc(NC(=O)c2ccco2)c1,1.0,0.0,0.0,0.0,0.45014050602912903,0.0,0.0,41.62437966363419,0.0,1.0,0.0
2,C=CCOc1c(Br)cc(CNc2nccs2)cc1OC,-0.0,1.0,0.0,1.0,0.48695895075798035,1.0,0.0,29.45776125240642,0.0,1.0,0.0
3,C=CCc1cc(C)ccc1OCC(O)CN1CCN(c2ccccc2)CC1,-0.0,1.0,0.0,0.0,0.4681045114994049,0.0,0.0,46.0360442730953,0.0,1.0,0.0
4,C=CCc1ccc(OCC(O)CN2CCC(Cc3ccccc3)CC2)c(OC)c1,-0.0,1.0,0.0,0.0,0.47836431860923767,0.0,0.0,49.025341724700176,0.0,1.0,0.0
5,C=CCc1ccc(OCC(O)COc2ccc(CC=C)cc2OC)c(OC)c1,-0.0,1.0,0.0,1.0,0.4846211075782776,1.0,0.0,24.50756594486689,0.0,1.0,0.0
6,C=CCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc21,-0.0,1.0,0.0,0.0,0.4730914533138275,0.0,0.0,33.70215727209464,0.0,1.0,0.0
7,C=CCn1c(NCc2cc(C)ccc2O)nc2ccccc21,-0.0,1.0,0.0,1.0,0.48337846994400024,0.0,0.0,42.50115559077356,1.0,-0.0,1.0
8,C=CCn1c(SC(C)C(=O)NCCC2=CCCCC2)nc2ccccc2c1=O,-0.0,1.0,0.0,0.0,0.40599724650382996,0.0,0.0,38.62436442507454,0.0,1.0,0.0
9,C=CCn1cc(C(=O)NCc2ccco2)c(=O)c2cc(S(=O)(=O)N3CCCCCC3)ccc21,-0.0,1.0,1.0,0.0,0.38308051228523254,0.0,0.0,44.781656837795694,0.0,1.0,0.0
10,CC(=O)N1CCN(c2ccccc2NC(=O)COc2cc(C)ccc2C(C)C)CC1,-0.0,1.0,0.0,0.0,0.4809463322162628,0.0,0.0,40.35195993274716,0.0,1.0,0.0
11,CC(=O)N1c2ccccc2N(Cc2ccc(C)cc2C)C(=O)C1(C)C,-0.0,1.0,0.0,0.0,0.4625781178474426,1.0,0.0,27.34437620956067,0.0,1.0,0.0
12,CC(=O)Nc1cc2c(cc1C(=O)c1ccc(C)cc1)OCCO2,1.0,0.0,0.0,0.0,0.44980719685554504,0.0,0.0,42.824467031376194,0.0,1.0,0.0
13,CC(=O)Nc1ccc(S(=O)(=O)N2CCc3c(Cl)cccc3C2)cc1,-0.0,1.0,0.0,0.0,0.44730281829833984,0.0,0.0,47.46516719239697,0.0,1.0,0.0
