,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(OCc2cn3ccccc3n2)cc1,1.0,0.0,0.0,0.0,0.0001595050098750597,0.0,0.0,83.0,0.0,1.0,0.0
1,Brc1ccc2c(c1)C(c1cccnc1)=NNC(c1cccs1)=N2,-0.0,1.0,1.0,0.0,-0.00017483685621230577,0.0,0.0,64.0,0.0,1.0,0.0
2,Brc1cnc2nc(SC/C=C/c3ccccc3)[nH]c2c1,-0.0,1.0,0.0,0.0,2.451514064420898e-05,0.0,0.0,62.0,0.0,1.0,0.0
3,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,4.9965272550112924e-06,0.0,0.0,82.0,0.0,1.0,0.0
4,C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,1.0,0.0,0.0,0.0,-7.842496322551503e-07,0.0,0.0,62.0,1.0,-0.0,1.0
5,C/C(=C\C(=O)Nc1cscc1C)C(=O)O,1.0,0.0,0.0,0.0,1.4489246603214923e-05,0.0,0.0,74.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2cc(O)ccc2O)c1)c1cc(O)ccc1O,1.0,0.0,0.0,0.0,5.427508380634185e-06,0.0,0.0,64.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,7.207144246935152e-05,0.0,0.0,57.0,0.0,1.0,0.0
8,C/C(=N\OC(=O)c1ccc(F)cc1)c1ccc(F)c(F)c1,1.0,0.0,0.0,0.0,9.116202515239516e-06,1.0,0.0,54.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)COc1ccccc1,1.0,0.0,1.0,0.0,-9.182374032650095e-05,0.0,0.0,61.0,0.0,1.0,0.0
10,C/C(CCc1oc2c(Br)cc(Br)cc2c1-c1ccc(C)o1)=N\O,1.0,0.0,0.0,0.0,7.758110213893441e-06,0.0,0.0,80.0,0.0,1.0,0.0
11,C/C(Cl)=C/Cc1c(C)[nH]c2ccc(C)cc2c1=O,1.0,0.0,0.0,0.0,3.496598008682784e-05,0.0,0.0,58.0,0.0,1.0,0.0
