PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,% Activity at 0.078125 uM_first_point,% Activity at 0.0390625 uM_first_point,Excluded_Points_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point,% Activity at 0.078125 uM_second_point,% Activity at 0.0390625 uM_second_point,Excluded_Points_third_point,% Activity at 20 uM_third_point,% Activity at 10 uM_third_point,% Activity at 5 uM_third_point,% Activity at 2.5 uM_third_point,% Activity at 1.25 uM_third_point,% Activity at 0.625 uM_third_point,% Activity at 0.3125 uM_third_point,% Activity at 0.15625 uM_third_point,% Activity at 0.078125 uM_third_point,% Activity at 0.0390625 uM_third_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50_1_Range1. If qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration,% inhibition at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,26732141,16746323,CCCCCC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCCCC3)C4=CC=C(C=C4)OC)OC)OC,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",28.2369,21.4105,19.8423,10.1188,9.37899,3.27464,1.073,10.6858,-5.91733,-4.63267,"0,0,0,0,0,0,0,0,0,0",28.3742,24.1836,16.6573,11.2794,7.04002,6.90712,3.06643,14.624,-4.21183,-6.42676,"0,0,0,0,0,0,0,0,0,0",30.7575,23.776,14.3626,13.862,11.7755,4.40868,7.61147,13.4722,-5.19083,-4.64596
523,49676421,16240138,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)/C=N/N=C(N)N.[N+](=O)(O)[O-],Active,48,,,=,8.239,0.435,2.033,"0,0,0,0,0,0,0,1,0,0",98.0294,53.1815,28.4983,14.5708,6.16291,2.94683,-2.5905,,-5.6161,2.4684,"0,0,0,0,0,0,0,0,0,0",97.5244,50.7539,26.1815,15.9308,2.05642,-0.114207,-2.83414,-4.03907,3.25692,5.56045,"0,0,0,0,0,0,0,0,0,0",97.8788,46.7626,28.9368,15.1555,5.81295,0.0231,-4.81872,-0.0168,-0.0699,5.92812
524,49726119,3174261,CC1=C(C=C(C=C1)N(C(C2=CC=C(O2)C)C(=O)NCC3CCCO3)C(=O)C4=C(C(=NS4)C(=O)N)N)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",49.8502,33.1984,22.8768,19.0892,7.07546,6.49515,5.80852,7.07546,-0.03,2.38423,"0,0,0,0,0,0,0,0,0,0",53.2656,33.9249,20.7283,14.5398,6.3844,0.200313,2.15388,6.66791,-6.44448,-4.98263,"0,0,0,0,0,0,0,0,0,0",49.4781,33.9957,22.4072,14.1765,12.6925,10.1852,4.75421,11.1997,-1.15522,-1.83299
525,49724950,3180344,COC1=CC=C(C=C1)N(C(C2=CC=CO2)C(=O)NC3CCCC3)C(=O)C4=C(C(=NS4)C(=O)N)N,Active,56,,,=,8.839,0.494,0.986,"0,0,0,0,0,0,0,0,0,0",71.4236,53.3454,32.1618,23.1381,8.03674,9.19736,2.9867,8.12091,-1.98361,-4.6814,"0,0,0,0,0,0,0,0,0,0",69.1024,54.7674,32.5029,19.1247,13.0735,4.25364,3.87267,11.9616,-3.24612,-9.58082,"0,0,0,0,0,0,0,0,0,0",68.8676,52.7872,39.7457,24.7373,13.3127,11.0712,4.47956,7.60704,5.60475,-2.08107
526,49715683,24789669,CCOC1=CC=C(C=C1)NC(=O)CN2C3=CC=CC=C3C(=O)N(C2=O)CCCC(=O)NC4CCN(CC4)CC5=CC=CC=C5,Active,57,,,=,5.269,0.35,0.909,"0,0,0,0,0,0,0,0,0,0",76.6952,65.182,49.3142,32.0865,17.2686,12.2008,5.12189,15.0182,-6.01035,1.53813,"0,0,0,0,0,0,0,0,0,0",76.8458,66.5508,50.2179,32.5117,21.6231,8.86069,7.22607,16.5554,-2.86515,-4.62381,"0,0,0,0,0,0,0,0,0,0",75.6276,64.6415,51.4583,31.1075,18.3938,11.842,11.1243,18.2963,-1.70896,1.1483
527,49717039,6266497,COC1=CC=CC(=C1)/C=C/2\C(=O)NC3=C(S2)C=CC(=C3)C(=O)NCCN4CCCCCC4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",36.379,20.148,5.34338,-1.09764,0.426236,-1.19066,-8.63283,-0.951451,0.324349,-3.3613,"0,0,0,0,0,0,0,0,0,0",37.1365,17.5875,6.78309,-3.56064,-1.23496,-5.70912,-5.6161,-0.140787,1.62673,1.81721,"0,0,0,0,0,0,0,0,0,0",37.7478,24.2146,9.33026,0.29777,-2.46204,-4.17639,-5.09337,-1.99247,-3.51191,3.26135
528,49678076,2049444,C1=CC=C(C=C1)C2=CN(C3=C2C(=S)N=CN3)C4=CC(=CC=C4)F,Active,54,,,=,9.979,0.767,0.73,"0,0,0,0,0,0,0,0,0,0",60.7477,55.516,35.1741,33.0123,16.4889,11.966,7.17735,12.2673,-4.04793,-4.31815,"0,0,0,0,0,0,0,0,0,0",59.3877,50.1249,40.4722,25.3398,16.0769,13.6051,5.91484,9.03789,-6.18755,-2.69239,"0,0,0,0,0,0,0,0,0,0",59.3035,49.5534,37.4112,27.8692,17.6008,13.1355,11.399,-1.49632,-4.34916,-2.35572
529,49715002,20877745,CC1CCN(CC1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",51.033,35.3557,24.25,21.1801,15.7226,17.1534,11.1864,17.8843,-3.16195,-2.40002,"0,0,0,0,0,0,0,0,0,0",52.3752,37.2251,24.2323,22.6376,16.4933,8.97587,9.41886,14.5309,-4.45104,0.643299,"0,0,0,0,0,0,0,0,0,0",50.9621,35.6614,29.1805,22.0395,22.4604,18.6108,13.2463,14.8011,-2.88287,-0.805266
530,49714965,20877827,CC1CCCN(C1)CCCNC(=O)C2=CC3=C(S2)C4=C(C=CC=C4OC3)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",60.5572,41.1145,29.2248,23.1337,22.6154,16.0326,12.3381,17.6451,3.37652,6.9337,"0,0,0,0,0,0,0,0,0,0",61.2615,41.4911,29.6589,27.2136,18.128,16.5421,12.6482,14.0968,5.06873,1.80392,"0,0,0,0,0,0,0,0,0,0",61.7887,44.4281,31.2625,23.6919,18.9962,18.7171,11.6471,12.8476,-2.5905,0.541412
531,49735215,6625183,CCOC(=O)N1CCN(CC1)C(=O)C2=CC3=C(C=C2)SCCN3CC4=CC=CC=C4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",15.3194,16.6174,7.37226,12.2673,-7.91962,-7.70699,-7.02036,-1.91716,-4.41117,5.4054,"0,0,0,0,0,0,0,0,0,0",20.684,13.4102,8.05889,3.17718,-8.36261,-8.18542,-1.93931,-3.91946,-3.22397,-0.229384,"0,0,0,0,0,0,0,0,0,0",20.7416,14.0303,8.78982,1.2812,-6.4622,-1.98804,-1.50961,2.93354,-3.48533,2.75634
532,49735818,22512760,C1CN(CCC1CC2=CC=CC=C2)CCCNC(=O)CCC(=O)N3CCOC4=C3C=C(C=C4)Cl,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",45.345,22.9565,7.42985,-1.19509,-12.0881,-7.2773,-9.83333,-6.66154,-2.93603,6.00343,"0,0,0,0,0,0,0,0,0,0",43.6174,22.292,3.70876,-2.80313,-10.9718,-10.356,-7.96392,-5.84202,-7.83546,8.37341,"0,0,0,0,0,0,0,0,0,0",43.1788,21.9908,4.74535,0.696457,-12.2919,-8.78345,-11.7825,-5.55851,-3.1088,9.47202
533,49723066,22512946,CC1=CC2=C(C=C1)OCCN2C(=O)CCC(=O)NCCCN3CCC(CC3)CC4=CC=CC=C4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",25.2468,16.2098,6.92927,7.19064,10.4023,5.33009,1.03313,7.05774,7.87727,8.14306,"0,0,0,0,0,0,0,0,0,0",28.7198,15.3903,6.09203,9.22394,3.33666,2.1716,-2.78985,4.77636,4.74092,7.12419,"0,0,0,0,0,0,0,0,0,0",29.5526,16.7591,2.2602,8.8164,2.6899,8.75881,0.240182,8.67021,9.12206,4.24921
534,51089974,16830789,CNC(=O)C1=C(SC=C1)NC(=O)C2CCCN2S(=O)(=O)C3=CC=CS3,Active,53,,,=,19.34,2.451,0.816,"0,0,0,0,0,0,0,0,0,0",52.5834,35.5063,22.3762,21.7516,10.9117,2.3931,4.76307,9.49416,-11.6983,-3.6138,"0,0,0,0,0,0,0,0,0,0",49.0883,36.0025,23.0185,15.0536,7.66463,6.18063,1.40081,10.008,-10.582,-4.75227,"0,0,0,0,0,0,0,0,0,0",51.8215,37.7212,23.3552,20.3562,8.58604,5.04658,5.5826,14.491,-10.2497,-2.01019
535,56436676,24983075,C#CCOCCOCCOCCNC1=NC(=NC(=N1)N2CCN(CC2)C(=O)CCCCCCCCCCNC(=O)[C@@H](CCC(=O)O)N3C=C(N=N3)CCCCCN)N4CCN(CC4)C(=O)CCCCCCCCCCNC(=O)[C@@H](CCC(=O)O)N5C=C(N=N5)CCCCCN,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",-4.88074,2.65003,-7.00264,0.315489,-13.8202,-12.9165,-10.2896,-7.9462,-6.27615,8.50188,"0,0,0,0,0,0,0,0,0,0",-1.62922,0.346498,-4.40231,-2.10322,-9.03595,-10.5022,-11.7204,-6.45777,0.594571,2.02099,"0,0,0,0,0,0,0,0,0,0",2.09629,2.45954,-1.46531,-5.11552,-12.221,-12.004,-9.64284,-10.0814,-7.07352,4.82509
536,57264503,25163021,CC1=CN(N=N1)[C@H]([C@H](C)O)C(=O)NCCCCCCCCCCC(=O)N2CCN(CC2)C3=NC(=NC(=N3)N4CCN(CC4)C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)N5C=C(N=N5)CCO)NCCOCCOCCOCC#C,Active,44,,,=,10.873,0.412,3.325,"0,0,0,0,0,0,0,0,0,0",93.6394,38.7756,16.5775,7.6159,-1.8197,-4.85859,-5.83759,-2.29813,-0.791976,0.324349,"0,0,0,0,0,0,0,0,0,0",94.7336,40.9373,16.4623,8.78096,4.94913,-9.73587,-11.0117,-3.90174,1.62673,1.48054,"0,0,0,0,0,0,0,0,0,0",94.4323,35.3203,11.1421,6.83182,0.93124,-3.29042,-6.52422,-8.45121,-1.07992,-1.49189
537,56436705,24982165,C#CCOCCOCCOCCNC1=NC(=NC(=N1)N2CCOCC2)N3CCN(CC3)C(=O)CCCCCCCCCCNC(=O)[C@H](CO)N4C=C(N=N4)CCCCCN,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",16.7326,13.1577,9.09548,10.8586,12.7235,7.16849,1.25905,15.8554,11.5718,7.25265,"0,0,0,0,0,0,0,0,0,0",21.5744,21.1846,7.98358,10.296,12.0635,6.39769,5.74207,16.2143,8.38227,10.6194,"0,0,0,0,0,0,0,0,0,0",18.7747,12.1609,0.333209,8.35569,14.3006,7.62919,6.19835,8.42214,4.28465,4.46627
538,56436775,24983165,C#CCOCCOCCOCCNC1=NC(=NC(=N1)N2CCN(CC2)C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)N3C=C(N=N3)CCO)N4CCN(CC4)C(=O)CCCCCCCCCCNC(=O)[C@H](CCCCN)N5C=C(N=N5)CCCC(=O)O,Active,44,,,=,12.981,0.474,3.302,"0,0,0,0,0,0,0,0,0,0",81.0985,29.3001,6.72993,-0.539474,-5.29272,-4.64153,-9.43464,-6.26729,-5.19083,2.44625,"0,0,0,0,0,0,0,0,0,0",83.4153,25.1272,7.89498,7.5406,-0.765397,-3.33029,-6.86975,-7.65383,-5.04021,-0.561624,"0,0,0,0,0,0,0,0,0,0",80.5314,30.1772,8.2538,4.29794,-4.50863,-5.66483,-12.0616,-12.066,-2.30699,2.11844
539,57258437,25162467,CSCCC(C(=O)N1CCC(CC1)C(=O)N)NC(=O)COC2=CC=CC=C2,Active,55,,,=,12.319,0.883,1.187,"0,0,0,0,0,0,0,0,0,0",70.7104,36.6271,17.8799,18.4203,9.42329,4.00999,6.30909,9.07333,1.40966,-5.77557,"0,0,0,0,0,0,0,0,0,0",70.5111,42.8909,24.6177,15.2397,11.1199,3.03099,4.25364,13.7158,-1.4786,-2.66581,"0,0,0,0,0,0,0,0,0,0",69.2663,34.5539,23.1603,12.2894,15.1821,5.00228,3.08858,7.08875,1.0287,-4.10108
540,57267086,25163243,CN(CC1=CC(=C(C=C1)OC)OC)C(=O)CC2=CC(=C(C=C2)OC)S(=O)(=O)N3CCOCC3,Active,46,,,=,12.56,0.554,2.284,"0,0,0,0,0,0,0,0,0,0",73.0849,33.5572,11.0225,4.86939,-7.95949,-11.5122,-10.2143,-3.72012,-1.20838,-0.889433,"0,0,0,0,0,0,0,0,0,0",73.5411,41.9872,10.2827,0.718607,-8.75687,-9.60297,-8.59296,-3.37459,-0.477456,2.85823,"0,0,0,0,0,0,0,0,0,0",75.6807,35.8518,14.9252,3.73091,-9.80232,-3.93718,-4.96048,-4.03464,-0.211664,4.05429
541,57257725,4008927,CCN(C1CCS(=O)(=O)C1)C(=O)CSC2=NN=C(N2CC=C)C3=CC=CC=C3,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",16.8655,4.23592,-5.60281,-3.53406,-12.3318,-12.1324,-10.5554,-6.30716,-1.11093,7.93485,"0,0,0,0,0,0,0,0,0,0",22.2965,4.78522,3.30122,-5.13324,-7.8266,-13.3285,-11.9508,-5.74899,-5.62496,4.12074,"0,0,0,0,0,0,0,0,0,0",14.8144,7.27923,-3.04235,-5.24842,-13.4835,-3.87959,-14.1524,-4.47762,-9.33718,-0.127497
542,57257622,16573898,CC1CCC2=C(C1)C=C(S2)C(=O)NCC(C3=CC=C(C=C3)OC)N4CCCC4,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",21.508,12.0369,9.34355,4.64346,1.8305,1.80835,-1.12865,-1.73997,-8.92963,-10.0371,"0,0,0,0,0,0,0,0,0,0",18.6463,13.5785,3.98342,3.05757,-0.242673,-6.98935,-4.30929,-2.25826,-10.2143,-7.12668,"0,0,0,0,0,0,0,0,0,0",12.0901,8.27152,1.18817,-3.84858,-0.154076,-2.47532,-3.8663,-1.23496,-7.61397,-15.6364
543,85201162,44202247,COC1=CC2=C(C=C1)SC(=C2C(=O)OC)C3=CC=C(C=C3)S(=O)(=O)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",39.2983,27.1029,12.9184,-0.911583,11.9882,11.6294,4.74092,11.3813,12.502,16.3737,"0,0,0,0,0,0,0,0,0,0",40.6848,25.8935,6.32238,4.07201,7.93042,7.5406,2.93354,10.0435,4.6479,11.8243,"0,0,0,0,0,0,0,0,0,0",37.4333,26.0043,8.26266,12.3736,12.2097,6.59703,-0.636931,9.80425,8.39113,10.4687
544,85272417,44246579,CC[C@@H](C)[C@@H]1CN(C(=N)N1CCC2=CC(=C(C=C2)Cl)Cl)[C@@H](CN3CCC[C@H]3CN4[C@@H](CN=C4N)CC(C)C)C(C)C,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",20.87,21.3396,13.5431,8.47973,-4.71241,-7.42791,-12.6684,-9.47008,-3.60937,3.58473,"0,0,0,0,0,0,0,0,0,0",25.6056,21.3263,12.2407,3.11959,-7.02479,-9.71815,-5.70026,-0.588203,5.75979,5.22378,"0,0,0,0,0,0,0,0,0,0",21.2377,22.168,9.97259,2.15388,-5.89961,-12.7216,-10.5465,-11.4059,-2.82971,-1.1508
545,56422373,5405,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",17.5392,10.9475,10.7462,3.35365,5.51231,3.65774,1.74321,0.06,-10.1894,-6.7801,"0,0,0,0,0,0,0,0,0,0",14.9522,11.9797,12.0012,-0.115643,0.389759,-2.00876,-2.65979,4.50151,-10.4421,-4.67711,"0,0,0,0,0,0,0,0,0,0",12.0568,9.98384,7.77377,3.51212,4.21882,1.68753,-1.30205,-1.20783,-8.73747,-7.83802
546,14744981,2122711,CCC1=NC2=CC=CC=C2C(=C1C)C(=O)OCCN3C(=O)C4=CC=CC=C4C3=O,Inactive,41,,,>,20,,,"0,0,0,0,0,0,0,0,0,0",46.4242,33.6264,13.0634,11.0632,5.75216,5.91064,1.09647,6.50598,5.9963,12.5408,"0,0,0,0,0,0,0,0,0,0",42.8436,30.8338,6.53597,3.38363,9.13151,9.65832,2.72403,9.77397,3.32795,7.47824,"0,0,0,0,0,0,0,0,0,0",43.5374,32.1487,11.8384,10.7077,8.37769,8.10357,2.4799,8.11642,4.62143,8.86596
