PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
219,26664736,308963,CC(C)(C)C1=CC=C(C=C1)OC(=O)NC2=CC(=C(C=C2)O)C(=O)O,Active,55,,,=,11.7,1.05,0.945,"0,0,0,0,0,0,0,0,0,0",85.5495,73.8507,64.3369,41.2181,33.0055,11.4335,12.573,17.877,2.1274,9.66386,"0,0,0,0,0,0,0,0,0,0",84.9078,79.6037,60.9493,51.0925,28.7854,26.2349,3.20931,-2.43065,9.65869,-5.95487
220,26732653,16746599,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,Active,64,,,=,0.463,0.024,1.049,"0,0,0,0,0,0,0,0,0,0",98.7673,97.9417,99.3861,94.4595,92.6483,84.1182,77.0709,54.3938,47.6512,17.5964,"0,0,0,0,0,0,0,0,0,0",99.781,100.13,97.2577,95.0192,92.184,85.6531,71.2104,62.3421,33.7623,28.1601
221,49725092,6858399,CC1=CC(=C(C(=C1)[N+](=O)[O-])C)C2=CC=C(O2)/C=N/N3C=NN=C3,Active,55,,,=,9.46,1.17,0.774,"0,0,0,0,0,0,0,0,0,0",75.9347,73.0898,73.2639,52.9004,34.4105,27.8271,3.91439,17.0754,-1.00905,16.5993,"0,0,0,0,0,0,0,0,0,0",78.8188,80.3364,67.0371,46.5572,44.9145,20.6612,17.6318,7.783,19.7213,-0.231439
222,49667967,4044809,C1=CC=C(C=C1)C(CC(=O)NC(CC(=O)O)C2=CC(=CC=C2)[N+](=O)[O-])C3=CC=CC=C3,Active,55,,,=,9.88,0.797,1.236,"0,0,0,0,0,0,0,0,0,0",90.9616,81.8601,70.6399,51.8579,36.0966,7.83468,1.71169,-1.77439,8.54116,-2.36828,"0,0,0,0,0,0,0,0,0,0",88.7534,82.365,68.0742,55.6906,28.8802,24.08,3.69582,-9.08475,-11.6244,1.61761
223,49726027,6500960,C1=COC(=C1)C2=NN(C(=O)C=C2)CC(=O)NC3=CC(=C(C=C3)Cl)Cl,Active,55,,,=,12.4,1.22,0.838,"0,0,0,0,0,0,0,0,0,0",78.0851,74.6742,64.6017,44.8878,30.0924,22.086,1.14718,-1.69573,-4.00479,-0.719007,"0,0,0,0,0,0,0,0,0,0",78.9351,74.1876,63.8074,40.199,31.1163,28.3975,17.4119,13.8941,12.4726,10.0741
224,49676080,16279363,CC(CCC1=CC=CC=C1)NC(=O)C(C)OC(=O)C2=CC(=C(C=C2)OC)[N+](=O)[O-],Active,50,,,=,17.9,4.09,0.524,"0,0,0,0,0,0,0,0,0,0",58.6222,58.1374,54.0819,47.0177,36.6075,28.3014,9.6849,3.16839,1.87553,17.3407,"0,0,0,0,0,0,0,0,0,0",59.1691,55.0268,56.4635,57.3341,51.8722,23.5755,17.0685,0.279203,19.6656,-0.76836
225,49644216,3188202,CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N1CC3=CC=C(C=C3)[N+](=O)[O-],Active,56,,,=,8.3,1,0.892,"0,0,0,0,0,0,0,0,0,0",92.3393,84.6643,66.0053,59.5022,31.0806,33.1793,20.8131,15.0721,-7.11829,9.66259,"0,0,0,0,0,0,0,0,0,0",74.5259,80.0554,74.1282,50.6503,43.5681,14.6399,19.94,-1.2068,12.8476,-6.52745
226,47202556,2913883,CC(CCC1=CC=CC=C1)NC(=O)C2=CC(=C(C=C2)OC)[N+](=O)[O-],Active,54,,,=,9.58,1.05,0.74,"0,0,0,0,0,0,0,0,0,0",87.4433,77.678,61.7348,47.8598,35.9246,20.6783,8.15062,28.4362,13.7007,15.2623,"0,0,0,0,0,0,0,0,0,0",87.5554,74.1399,65.7033,46.0049,40.727,22.8069,21.1727,12.2674,8.06321,5.81788
227,49642321,705245,CCC1=CC2=C(S1)N=C(OC2=O)C3=CC=CC=C3F,Active,59,,,=,1.62,0.113,0.789,"0,0,0,0,0,0,0,0,0,0",92.7434,91.8186,87.3854,80.7074,75.6048,56.6409,46.9986,23.0183,16.9638,25.26,"0,0,0,0,0,0,0,0,0,0",94.0093,91.6708,86.7006,80.8113,71.021,62.3952,42.9671,34.8991,21.0134,10.9131
228,47203825,2755820,C1=CC=C(C=C1)CCCCNC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,53,,,=,8,1.25,0.622,"0,0,0,0,0,0,0,0,0,0",78.6343,72.908,68.1152,57.8596,32.3095,39.1738,19.1609,42.9451,11.7868,12.0763,"0,0,0,0,0,0,0,0,0,0",78.372,72.9999,68.9612,53.2574,40.6508,26.0578,20.111,15.3097,-1.58794,6.23971
229,50086694,9661296,C/C(=N\NC(=O)C1=C(N(N=N1)C2=NON=C2N)C3=CC(=C(C=C3)Cl)Cl)/C4=CC=NC=C4,Inactive,41,,,=,20.9,4.6,0.52,"0,0,0,0,0,0,0,0,0,0",53.7265,58.1563,59.764,60.0682,28.5203,16.4161,17.7338,7.98804,16.1635,7.61674,"0,0,0,0,0,0,0,0,0,0",51.7112,59.0981,53.3988,50.6014,38.1038,21.759,15.4684,4.42333,-0.0426,7.21279
230,49719381,22576109,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C3=NN=C(C=C3)N4CCCCCC4,Active,54,,,=,3.42,0.321,0.621,"0,0,0,0,0,0,0,0,0,0",88.9246,85.2783,77.6509,61.841,58.1908,37.1699,22.7941,30.4838,22.0012,12.3957,"0,0,0,0,0,0,0,0,0,0",89.9087,80.1743,75.3355,69.9222,55.6714,48.9457,35.453,21.4326,21.5048,22.4906
231,49730981,20878504,CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=C3N=C(C4=CC=CC=C4N3N=N2)NCC5CCCO5,Active,48,,,=,1.34,0.688,0.31,"0,0,0,0,0,0,0,0,0,0",54.4077,58.7237,85.0331,79.4121,73.8048,63.6659,57.5501,46.0772,33.7169,22.3719,"0,0,0,0,0,0,0,0,0,0",51.7119,55.8588,69.9267,82.0896,77.5706,69.6159,55.5032,33.033,29.9988,16.0934
232,49825665,1811788,CCCCC(=O)NC1=NC(=CS1)C2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,Active,66,,,=,0.206,0.018,0.955,"0,0,0,0,0,0,0,0,0,0",91.8653,93.3436,95.5448,93.7474,93.715,93.6982,86.9741,72.4837,64.7379,44.6156,"0,0,0,0,0,0,0,0,0,0",93.6239,93.4508,94.8825,95.0883,93.8456,91.608,85.0861,77.4131,59.2996,36.7232
233,50086874,24856326,CC[C@]1(C(=O)N(N1C(=O)OC)C(=O)OC)C2=CC=CC(=C2)C,Active,57,,,=,5.96,0.409,1.028,"0,0,0,0,0,0,0,0,0,0",92.6922,89.8806,85.7068,63.3194,43.0043,29.738,16.2337,11.2534,17.9257,-4.22812,"0,0,0,0,0,0,0,0,0,0",92.6918,86.3414,78.4385,56.3933,44.7855,28.6273,18.9079,9.34096,2.35866,-5.17082
234,47195673,1719488,CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])/C(=O)NCCCN(C)C,Active,57,,,=,5.71,0.515,0.981,"0,0,0,0,0,0,0,0,0,0",94.296,85.71,79.3151,64.6602,45.4394,33.5625,24.1299,14.9272,15.7321,6.36391,"0,0,0,0,0,0,0,0,0,0",94.459,91.0486,76.0611,56.3807,55.6128,17.0769,20.0732,3.57861,5.12485,-7.80106
235,26661845,6886789,C1=CC(=CC=C1C2=CC=C(O2)/C=N/NC(=S)N)SC(F)F,Inactive,41,,,>,80,,,"0,0,0,0,0,0,0,0,0,0",29.1311,28.1447,28.1221,19.5211,18.7033,32.1291,22.1909,9.97282,8.8426,4.13203,"0,0,0,0,0,0,0,0,0,0",24.9554,26.435,24.4382,25.1238,25.2683,44.1219,18.5592,20.2316,2.5079,21.2417
236,56316173,16959066,CC1CCCN(C1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,60,,,=,1.91,0.136,0.889,"0,0,0,0,0,0,0,0,0,0",94.2036,94.7542,87.5803,80.8888,69.74,60.4574,39.8511,32.4372,9.96151,23.2373,"0,0,0,0,0,0,0,0,0,0",94.7789,90.8436,87.4638,85.2409,69.355,57.1549,37.0411,26.5344,11.0997,5.10498
237,51089502,7292609,CCC1=C2C(=CC=C1)SC(=N2)N3CCN(CC3)C(=O)C4=CC=C(O4)[N+](=O)[O-],Active,55,,,=,12.9,0.503,1.142,"0,0,0,0,0,0,0,0,0,0",87.4665,82.2784,59.9868,43.7331,24.7334,13.2217,5.35548,5.8015,0.248632,-2.42875,"0,0,0,0,0,0,0,0,0,0",88.782,75.1751,61.3453,47.7936,22.8193,13.9931,7.74431,-0.149201,-5.08363,3.35547
238,56317640,16959024,CC1CCCCN1C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,56,,,=,10.9,1.49,1.013,"0,0,0,0,0,0,0,0,0,0",88.562,81.334,63.4703,52.985,23.8288,7.70657,25.8466,-4.03999,8.78998,-11.2116,"0,0,0,0,0,0,0,0,0,0",89.4266,75.1394,67.1338,40.9017,34.2244,36.7645,2.77709,9.15883,-16.6201,4.6994
239,51090688,16813582,CC1=CC2=NC(=NC(=O)N2C=C1)SCC(=O)N3C(CC(=N3)C4=CC=CS4)C5=CC=C(C=C5)F,Active,55,,,=,10.3,0.689,0.888,"0,0,0,0,0,0,0,0,0,0",77.1689,78.8325,65.0909,52.8693,35.5924,21.5932,11.3906,3.08869,3.11958,-3.13597,"0,0,0,0,0,0,0,0,0,0",77.4773,77.5964,66.7245,51.0103,38.1454,24.2921,6.70499,9.14395,-0.689425,-0.274863
240,56314704,24978624,CCOC1=CC=C(C=C1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3,Active,57,,,=,5.81,0.175,1.038,"0,0,0,0,0,0,0,0,0,0",95.4724,87.0728,76.4432,64.1302,45.3833,33.5579,15.4623,8.24372,1.63221,2.0085,"0,0,0,0,0,0,0,0,0,0",95.0602,88.4154,76.121,62.0966,48.9981,29.5867,18.4977,5.14672,3.79086,-0.684853
241,57262527,16307782,CC1=C(C(=C(N=C1C)SC(C)C(=O)NC2CCCC2)C#N)C,Active,50,,,=,10.5,2.33,0.485,"0,0,0,0,0,0,0,0,0,0",61.3378,52.2456,60.8004,56.0067,54.5866,30.5696,22.6765,11.21,8.40947,-0.568402,"0,0,0,0,0,0,0,0,0,0",57.3402,63.5533,68.4803,60.6077,53.7193,39.1706,24.2652,17.3985,16.4319,3.47586
242,57262233,2080205,CC(C)(C)NC(=O)NC(=O)COC(=O)C1CCN(CC1)S(=O)(=O)C2=CC=CS2,Active,55,,,=,9.75,0.747,0.869,"0,0,0,0,0,0,0,0,0,0",86.8999,78.0409,64.6873,48.0869,40.2243,16.8139,16.0329,0.51161,5.23106,8.14428,"0,0,0,0,0,0,0,0,0,0",87.7048,75.1565,70.1764,42.0896,43.4096,19.6664,21.6181,11.5192,0.976454,5.48123
243,57256223,16301878,CC(C(=O)N1CCC2=CC=CC=C21)OC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active,58,,,=,3.98,0.384,0.94,"0,0,0,0,0,0,0,0,0,0",95.569,93.6832,83.1429,66.9026,49.1092,47.3762,21.0159,28.9846,6.40491,17.4125,"0,0,0,0,0,0,0,0,0,0",96.3049,89.0355,83.0287,73.0888,57.016,33.3026,26.4593,1.88188,10.3792,1.63243
244,57256731,7774872,CC(C)(C)C1=CC=C(C=C1)CSC2=NC=C(C=C2)S(=O)(=O)N3CCOCC3,Active,59,,,=,0.683,0.058,0.702,"0,0,0,0,0,0,0,0,0,0",90.1899,95.3729,91.2934,88.944,82.5008,69.9576,60.2335,42.8931,44.0421,31.2646,"0,0,0,0,0,0,0,0,0,0",96.4453,96.855,91.0429,89.5258,78.0819,68.3066,64.5187,45.0237,41.1969,15.5604
245,57256868,7570114,CC(C)C1=CC=C(C=C1)CSC2=NC=C(C=C2)S(=O)(=O)N3CCOCC3,Active,49,,,=,7.91,2.55,0.438,"0,0,0,0,1,0,0,0,0,0",49.5442,58.8043,69.4394,67.8099,,44.9897,33.2093,21.9568,7.75319,5.53517,"0,0,0,0,0,0,0,0,0,0",55.4125,55.6765,70.2035,68.9629,58.7084,48.2128,29.4638,18.3954,10.942,1.36425
246,57266169,16309139,CC(C(=O)N1CCN(CC1)CC2=CC=CC=C2)OC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Active,56,,,=,3.36,0.359,0.706,"0,0,0,0,0,0,0,0,0,0",95.6078,87.9471,82.8316,72.1916,47.6752,41.2472,34.9916,30.3877,25.8763,13.9488,"0,0,0,0,0,0,0,0,0,0",93.8638,91.807,77.8712,64.6307,49.2758,47.2297,27.23,16.1881,25.513,6.54191
247,85201333,44202417,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F)[C@H](C)CO,Active,56,,,=,7.98,1.01,0.862,"0,0,0,0,0,0,0,0,0,0",93.2716,82.9884,71.5035,46.9321,39.7079,14.2868,23.7857,10.8248,1.70706,14.3527,"0,0,0,0,0,0,0,0,0,0",94.5644,85.2001,69.7769,55.5282,28.4962,24.7521,24.4682,24.3648,20.6353,-0.920369
248,87342366,44601799,COC1=CC2=C(C=C1)NC3=C2CCN4[C@]3([C@H](CC(C4=O)CC(=O)NCC5=CC=CO5)C(=O)N6CCOCC6)CCC7CCCC7,Active,58,,,=,4.73,0.379,0.961,"0,0,0,0,0,0,0,0,0,0",96.1695,90.6933,80.4617,66.6235,46.5075,38.4869,22.2851,8.71481,3.30516,2.87181,"0,0,0,0,0,0,0,0,0,0",95.4532,92.2995,79.2734,70.8586,47.6528,32.5037,21.5158,10.1013,20.8047,17.9363
249,87336895,44601674,C1CCC(C1)CC[C@@]23[C@H](C[C@@H](C(=O)N2CCC4=C3NC5=C4C=C(C=C5)Cl)CC(=O)NCCC6=CC=CC=N6)C(=O)N7CCOCC7,Active,62,,,=,1.15,0.03,1.112,"1,0,0,0,0,0,0,0,0,0",,97.3475,94.2839,90.6672,81.8853,71.9969,52.4185,33.3933,18.2258,10.9964,"1,0,0,0,0,0,0,0,0,0",,97.2234,95.0058,89.7678,83.7015,69.8812,54.7278,35.9608,16.4263,5.22376
250,92764524,9958995,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C4[C@]2(CC[C@@H]5[C@@]4(C=C(C(=O)C5(C)C)C#N)C)C)(C)C)C(=O)N6C=CN=C6,Active,60,,,=,1.77,0.239,0.871,"0,0,0,0,0,0,0,0,0,0",96.5283,98.2809,97.0095,68.4123,63.0266,70.8013,39.0939,34.8516,10.3828,13.0967,"0,0,0,0,0,0,0,0,0,0",96.65,96.9686,97.8248,61.4554,80.0109,63.3202,40.0439,30.3892,8.70024,14.9061
251,99357850,293085,C1=CC=C(C=C1)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],Active,56,,,=,6.47,0.279,1.346,"0,0,0,0,0,0,0,0,0,0",97.7951,93.0171,81.701,64.8426,42.7854,24.8378,11.0052,3.85161,-0.357644,-6.22696,"0,0,0,0,0,0,0,0,0,0",97.9452,90.4652,80.6407,62.7035,40.2532,22.6461,8.32301,3.52658,-4.15296,-9.47542
252,99360428,46904830,CC1(CC(=O)C=C(C1=O)C2=CC=C(C=C2)COC(=O)C3=CC=CC=C3)C,Active,54,,,=,3.75,0.475,0.644,"0,0,0,0,0,0,0,0,0,0",88.3001,89.155,75.9341,64.8107,54.8167,40.3467,26.1451,37.9925,19.4911,22.0367,"0,0,0,0,0,0,0,0,0,0",86.656,90.0962,78.6076,68.2743,45.4731,31.3856,27.8223,28.2877,13.0153,17.8722
253,103074979,49790173,CC1C(=O)N(C2=CC=CC(=C2O1)C(=O)C)CC3=CC=C(C=C3)Cl,Active,57,,,=,5.63,0.603,0.848,"0,0,0,0,0,0,0,0,0,0",94.131,89.1884,75.146,62.528,44.8521,37.9411,12.8095,23.2685,4.07433,6.24066,"0,0,0,0,0,0,0,0,0,0",96.6125,87.2071,78.1476,54.5093,38.052,24.7587,33.7896,24.8915,9.50385,2.3558
254,124755447,53301276,CCOC(=O)[C@]12CC3=C([C@H]1N(C(=O)C4=C2C=CC(=C4)OC)C5CCCCC5)C=CC(=C3)C,Active,46,,,=,6.32,0.427,2.291,"0,0,0,0,0,0,0,0,0,0",93.552,96.9267,97.0738,79.9868,33.4994,9.47075,3.25181,13.8985,4.59507,-4.75556,"0,0,0,0,0,0,0,0,0,0",93.9693,96.7868,95.2985,70.9065,33.3994,19.9296,-2.799,12.6688,-6.38156,14.531
255,124755435,53301264,CCOC(=O)[C@]12CC3=C([C@H]1N(C(=O)C4=CC=CC=C24)C5CCCCC5)C=CC(=C3)C,Active,57,,,=,6.17,0.688,1.192,"0,0,0,0,0,0,0,0,0,0",95.9416,98.1336,87.1528,60.7766,41.0323,18.9816,18.6379,14.4259,21.87,0.979747,"0,0,0,0,0,0,0,0,0,0",96.248,97.7194,87.6642,59.8843,34.7346,18.6424,18.9087,22.4557,11.3536,-2.66963
256,124755436,53301265,CCOC(=O)[C@]12CC3=C([C@H]1N(C(=O)C4=CC=CC=C24)C5CCCCC5)C=C(C=C3)C,Active,55,,,=,6.79,0.971,1.435,"0,0,0,0,0,0,0,0,0,0",95.8608,97.3762,88.7259,64.3633,43.4871,16.5796,15.4481,11.715,22.2163,0.182803,"0,0,0,0,0,0,0,0,0,0",95.6279,97.681,91.0911,58.0784,20.7998,25.7005,-1.96949,21.4408,13.825,28.238
257,26668475,2947587,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)NC(=O)C4COC5=CC=CC=C5O4,Active,61,,,=,1.28,0.048,0.967,"0,0,0,0,0,0,0,0,0,0",100.226,97.2437,92.6381,86.4429,75.6572,68.2558,50.9183,32.7251,20.6532,4.5585,"0,0,0,0,0,0,0,0,0,0",99.8061,97.113,92.8441,85.6155,77.0733,65.6968,51.937,37.4398,18.4827,11.0837
258,85302346,135412049,CCCCOC(=O)CNC1=NN=C(NC1=O)SCC(=O)OCC,Active,56,,,=,9.16,1.1,0.935,"0,0,0,0,0,0,0,0,0,0",83.8839,78.2839,64.6501,53.9355,49.927,24.3662,16.8772,-8.28156,4.3492,7.6039,"0,0,0,0,0,0,0,0,0,0",83.7517,78.2941,68.6668,52.9401,33.4217,22.6265,6.94963,14.9552,-5.78251,-17.8129
