,mvsa_LGBM_greedy,catboost_self_LGBM_greedy,catboost_test_LGBM_greedy,tracin_LGBM_greedy,tracin_pos_LGBM_greedy,tracin_self_LGBM_greedy,Greedy Acquisition,Random Sampling
0,19.38898754119873,238.08383631706238,187.03192520141602,202.12337350845337,204.1685643196106,192.84754586219788,4.124233961105347,2.5617728233337402
0,,,,,,,,
0,19.122343063354492,237.51253747940063,186.89600372314453,198.08523845672607,212.20007753372192,200.54314613342285,4.122740745544434,2.5588090419769287
0,,,,,,,,
0,19.222031116485596,237.71544241905212,185.73608994483948,197.93034601211548,201.37746620178223,192.17712688446045,4.1142418384552,2.556224822998047
0,,,,,,,,
0,19.2464759349823,238.20520210266113,186.71977996826172,199.2376570701599,202.6781520843506,192.46738481521606,4.120392084121704,2.55637264251709
0,,,,,,,,
0,19.15702772140503,238.42437839508057,187.23998260498047,200.0119972229004,199.16555285453796,189.62200927734375,4.160507917404175,2.563596487045288
0,,,,,,,,
0,19.118444204330444,236.49838376045227,186.7246060371399,199.2398726940155,203.8982150554657,200.702130317688,4.121824502944946,2.5634119510650635
0,,,,,,,,
0,19.103423595428467,238.07771277427673,187.238126039505,199.14820742607117,200.97028923034668,192.34536385536194,4.083665370941162,2.557110548019409
0,,,,,,,,
0,19.31873083114624,239.08783864974976,186.64773869514465,206.10583925247192,205.06140565872192,192.88022351264954,4.086575031280518,2.5568900108337402
0,,,,,,,,
0,18.96893000602722,238.00971102714539,187.17035603523254,202.30164098739624,198.59664511680603,192.62887382507324,4.089693307876587,2.5559444427490234
0,,,,,,,,
0,19.325750589370728,238.31551671028137,186.55182719230652,204.065425157547,200.65272045135498,197.17459988594055,4.09239649772644,2.5712697505950928
0,,,,,,,,
